2024-11-24 01:12:59,143 | 192.168.31.133 | GET | http://detectportal.firefox.com/canonical.html | 200 | 90
2024-11-24 01:12:59,143 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:59,210 | 192.168.31.133 | GET | http://detectportal.firefox.com/success.txt?ipv6 | 200 | 8
2024-11-24 01:12:59,239 | 192.168.31.133 | GET | http://detectportal.firefox.com/success.txt?ipv4 | 200 | 8
2024-11-24 01:12:59,239 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:13:06,648 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:13:06,656 | 192.168.31.133 | CONNECT | rr4---sn-h5576nsk.googlevideo.com:443 | 200 | 0
2024-11-24 01:13:27,088 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:13:27,100 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:13:37,267 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:14:41,957 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:14:41,957 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:13,182 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:13,488 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:15,721 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:16,459 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:17,474 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:17,687 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:26,700 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:27,723 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:27,826 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:28,852 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:28,852 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:30,692 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:31,105 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:31,685 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:32,946 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:33,764 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:34,332 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:37,247 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:37,719 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:39,821 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:15:42,571 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:16:34,495 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:16:34,495 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:16:34,495 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:16:34,495 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:16:34,556 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:16:41,292 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:17:27,437 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:17:27,437 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
